WOODZ 'Drowning' Live Clip (2025 Let's Rock Festival)
https://www.youtube.com/watch?v=ZFB0hroV3jw&list=RDZFB0hroV3jw&start_radio=1
#PINYIN_ENABLED

Line 1 | Word 1 | 00:27:11 → 00:27:58 | 미 | mi 
Line 1 | Word 2 | 00:27:58 → 00:28:19 | 치 | chi 
Line 1 | Word 3 | 00:28:19 → 00:28:78 | 도 | do 
Line 1 | Word 4 | 00:28:78 → 00:29:30 | 록  | rok 
Line 1 | Word 5 | 00:29:30 → 00:29:86 | 사 | sa 
Line 1 | Word 6 | 00:29:86 → 00:30:41 | 랑 | rang 
Line 1 | Word 7 | 00:30:41 → 00:30:91 | 했 | haet 
Line 1 | Word 8 | 00:30:91 → 00:31:91 | 던 | deon
Line 2 | Word 1 | 00:32:29 → 00:32:56 | 지 | ji 
Line 2 | Word 2 | 00:32:56 → 00:33:16 | 겹 | gyeop 
Line 2 | Word 3 | 00:33:16 → 00:33:34 | 도 | dorok 
Line 2 | Word 4 | 00:33:34 → 00:34:18 | 록  | da 
Line 2 | Word 5 | 00:34:18 → 00:34:69 | 다 | tu 
Line 2 | Word 6 | 00:34:69 → 00:35:18 | 투 | eo 
Line 2 | Word 7 | 00:35:18 → 00:36:52 | 었 | sseot 
Line 2 | Word 8 | 00:36:52 → 00:37:52 | 던 | deon
Line 3 | Word 1 | 00:38:41 → 00:38:57 | 너 | neo 
Line 3 | Word 2 | 00:38:57 → 00:38:99 | 가  | ga 
Line 3 | Word 3 | 00:38:99 → 00:39:58 | 먼 | meon 
Line 3 | Word 4 | 00:39:58 → 00:40:54 | 저  | jeo 
Line 3 | Word 5 | 00:40:54 → 00:40:90 | 떠 | tteo 
Line 3 | Word 6 | 00:40:90 → 00:41:14 | 나 | na 
Line 3 | Word 7 | 00:41:14 → 00:42:14 | 고 | go
Line 4 | Word 1 | 00:44:41 → 00:44:87 | 여 | yeo 
Line 4 | Word 2 | 00:44:87 → 00:45:41 | 긴  | gin 
Line 4 | Word 3 | 00:45:41 → 00:45:86 | 온 | on 
Line 4 | Word 4 | 00:45:86 → 00:46:15 | 종 | jong 
Line 4 | Word 5 | 00:46:15 → 00:46:42 | 일  | il 
Line 4 | Word 6 | 00:46:42 → 00:47:02 | 비 | bi 
Line 4 | Word 7 | 00:47:02 → 00:47:60 | 가  | ga 
Line 4 | Word 8 | 00:47:60 → 00:48:14 | 왔 | wa 
Line 4 | Word 9 | 00:48:14 → 00:49:14 | 어 | sseo
Line 5 | Word 1 | 00:49:30 → 00:49:50 | 금 | geum 
Line 5 | Word 2 | 00:49:50 → 00:50:02 | 세  | se 
Line 5 | Word 3 | 00:50:02 → 00:50:39 | 턱  | teok 
Line 5 | Word 4 | 00:50:39 → 00:50:93 | 끝 | kkeut 
Line 5 | Word 5 | 00:50:93 → 00:52:48 | 까 | kka 
Line 5 | Word 6 | 00:52:48 → 00:54:45 | 지  | ji 
Line 5 | Word 7 | 00:54:45 → 00:54:65 | 차 | cha 
Line 5 | Word 8 | 00:54:65 → 00:54:81 | 올 | ol 
Line 5 | Word 9 | 00:54:81 → 00:54:98 | 랐 | rat 
Line 5 | Word 10 | 00:54:98 → 00:55:98 | 고 | go
Line 6 | Word 1 | 00:55:31 → 00:55:92 | 숨 | sum 
Line 6 | Word 2 | 00:55:92 → 00:56:33 | 이  | i 
Line 6 | Word 3 | 00:56:33 → 00:56:76 | 막 | mak 
Line 6 | Word 4 | 00:56:76 → 00:56:96 | 혀 | hyeo 
Line 6 | Word 5 | 00:56:96 → 00:57:96 | 와 | wa
Line 7 | Word 1 | 00:58:59 → 01:00:89 | Oh  | Oh 
Line 7 | Word 2 | 01:00:89 → 01:01:37 | 내  | nae 
Line 7 | Word 3 | 01:01:37 → 01:01:91 | 맘 | mam 
Line 7 | Word 4 | 01:01:91 → 01:02:15 | 이 | i 
Line 7 | Word 5 | 01:02:15 → 01:02:51 | 란  | ran 
Line 7 | Word 6 | 01:02:51 → 01:03:03 | 추 | chu 
Line 7 | Word 7 | 01:03:03 → 01:03:26 | 는  | neun 
Line 7 | Word 8 | 01:03:26 → 01:03:57 | 나 | na 
Line 7 | Word 9 | 01:03:57 → 01:03:86 | 를  | reul 
Line 7 | Word 10 | 01:03:86 → 01:04:41 | 더  | deo 
Line 7 | Word 11 | 01:04:41 → 01:04:67 | 깊 | gip 
Line 7 | Word 12 | 01:04:67 → 01:04:97 | 게,  | ge, 
Line 7 | Word 13 | 01:04:97 → 01:05:43 | 더  | deo 
