レミオロメン - 粉雪
https://www.youtube.com/watch?v=1wxTksLZ1Mw
#PINYIN_ENABLED

Line 1 | Word 1 | 00:24:14 → 00:25:30 | 粉 | ko na
Line 1 | Word 2 | 00:25:30 → 00:26:78 | 雪 | yu ki
Line 1 | Word 3 | 00:26:78 → 00:27:12 | 舞 | ma 
Line 1 | Word 4 | 00:27:12 → 00:27:46 | う | u 
Line 1 | Word 5 | 00:27:46 → 00:27:76 | 季 | ki 
Line 1 | Word 6 | 00:27:76 → 00:28:10 | 節 | se tsu
Line 1 | Word 7 | 00:28:10 → 00:29:64 | は | wa 
Line 1 | Word 8 | 00:29:64 → 00:30:05 | い | i 
Line 1 | Word 9 | 00:30:05 → 00:31:14 | つ | tsu 
Line 1 | Word 10 | 00:31:14 → 00:31:36 | も | mo 
Line 1 | Word 11 | 00:31:36 → 00:32:58 | す | su 
Line 1 | Word 12 | 00:32:58 → 00:32:81 | れ | re 
Line 1 | Word 13 | 00:32:81 → 00:33:38 | 違 | chi ga
Line 1 | Word 14 | 00:33:38 → 00:34:38 | い | i
Line 2 | Word 1 | 00:35:50 → 00:35:89 | 人 | hi to
Line 2 | Word 2 | 00:35:89 → 00:37:01 | 混 | go 
Line 2 | Word 3 | 00:37:01 → 00:37:26 | み | mi 
Line 2 | Word 4 | 00:37:26 → 00:38:48 | に | ni 
Line 2 | Word 5 | 00:38:48 → 00:39:38 | 紛 | ma gi
Line 2 | Word 6 | 00:39:38 → 00:39:74 | れ | re 
Line 2 | Word 7 | 00:39:74 → 00:39:95 | て | te 
Line 2 | Word 8 | 00:39:95 → 00:41:40 | も | mo 
Line 2 | Word 9 | 00:41:40 → 00:42:71 | 同 | o na
Line 2 | Word 10 | 00:42:71 → 00:42:92 | じ | ji 
Line 2 | Word 11 | 00:42:92 → 00:44:27 | 空 | so ra
Line 2 | Word 12 | 00:44:27 → 00:44:59 | 見 | mi 
Line 2 | Word 13 | 00:44:59 → 00:44:76 | て | te 
Line 2 | Word 14 | 00:44:76 → 00:44:96 | る | ru 
Line 2 | Word 15 | 00:44:96 → 00:45:14 | の | no 
